CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F1015,F1663,F2340,F2341,F2342,
,,,,,Deprivation; classification of household [E][S][W] : Total\ Classification of household deprivation - Unit : Households,Deprivation; classification of household [E][S][W] : Household is not deprived in any dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 1 dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 2 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 3 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 4 dimensions - Unit : Households,Country of birth : Other countries - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Unit : Persons,Sex : Total\ Sex - Unit : Persons,Sex : Males - Unit : Persons,Sex : Females - Unit : Persons,
1142,E05000128,Belsize,Wards and Electoral Divisions,WED,6131,2958,2007,818,277,71,4165,12702,12702,6091,6611,
1143,E05000129,Bloomsbury,Wards and Electoral Divisions,WED,4819,1412,2242,823,296,46,3789,10892,10892,5686,5206,
1144,E05000130,Camden Town with Primrose Hill,Wards and Electoral Divisions,WED,5905,2255,2149,1020,428,53,3293,12613,12613,6278,6335,
1145,E05000131,Cantelowes,Wards and Electoral Divisions,WED,5094,1801,1742,980,460,111,2844,11925,11925,5787,6138,
1146,E05000132,Fortune Green,Wards and Electoral Divisions,WED,5324,2239,1833,876,308,68,3304,11740,11740,5885,5855,
1147,E05000133,Frognal and Fitzjohns,Wards and Electoral Divisions,WED,4940,2710,1584,507,119,20,4031,11986,11986,5829,6157,
1148,E05000134,Gospel Oak,Wards and Electoral Divisions,WED,4912,1684,1537,1047,512,132,2730,11264,11264,5438,5826,
1149,E05000135,Hampstead Town,Wards and Electoral Divisions,WED,5200,2747,1764,532,135,22,3063,11270,11270,5475,5795,
1150,E05000136,Haverstock,Wards and Electoral Divisions,WED,5254,1675,1756,1161,553,109,3256,12364,12364,5890,6474,
1151,E05000137,Highgate,Wards and Electoral Divisions,WED,4788,2236,1449,752,308,43,1923,10955,10955,5145,5810,
1152,E05000138,Holborn and Covent Garden,Wards and Electoral Divisions,WED,6114,2017,2368,1179,469,81,4226,13023,13023,6908,6115,
1153,E05000139,Kentish Town,Wards and Electoral Divisions,WED,5793,2238,2066,964,432,93,2760,13417,13417,6456,6961,
1154,E05000140,Kilburn,Wards and Electoral Divisions,WED,5758,1654,2004,1359,598,143,3984,12038,12038,5723,6315,
1155,E05000141,King's Cross,Wards and Electoral Divisions,WED,4594,1149,1955,1012,407,71,4299,11843,11843,5926,5917,
1156,E05000142,Regent's Park,Wards and Electoral Divisions,WED,5602,1535,2100,1322,517,128,4598,13528,13528,6918,6610,
1157,E05000143,St Pancras and Somers Town,Wards and Electoral Divisions,WED,5588,1362,1975,1438,680,133,4351,13818,13818,6590,7228,
1158,E05000144,Swiss Cottage,Wards and Electoral Divisions,WED,5860,2820,1991,761,244,44,4901,12900,12900,6038,6862,
1159,E05000145,West Hampstead,Wards and Electoral Divisions,WED,5858,2483,2047,918,342,68,3548,12060,12060,5822,6238,
1396,E05000382,Abingdon,Wards and Electoral Divisions,WED,4792,2271,1623,658,197,43,3989,10013,10013,5029,4984,
1397,E05000383,Brompton,Wards and Electoral Divisions,WED,4703,2248,1782,528,129,16,3292,8839,8839,4428,4411,
1398,E05000384,Campden,Wards and Electoral Divisions,WED,3922,2166,1249,382,108,17,2773,8178,8178,3972,4206,
1399,E05000385,Colville,Wards and Electoral Divisions,WED,4369,1594,1575,821,320,59,2474,8377,8377,4080,4297,
1400,E05000386,Courtfield,Wards and Electoral Divisions,WED,4571,2178,1734,468,151,40,3186,8933,8933,4687,4246,
1401,E05000387,Cremorne,Wards and Electoral Divisions,WED,4010,1420,1334,848,347,61,2367,7964,7964,3797,4167,
1402,E05000388,Earl's Court,Wards and Electoral Divisions,WED,4934,1740,1866,865,369,94,3470,9104,9104,4772,4332,
1403,E05000389,Golborne,Wards and Electoral Divisions,WED,4104,911,1444,1106,535,108,3015,8937,8937,4385,4552,
1404,E05000390,Hans Town,Wards and Electoral Divisions,WED,4932,2182,1836,701,177,36,3041,8792,8792,4315,4477,
1405,E05000391,Holland,Wards and Electoral Divisions,WED,4463,2259,1444,542,178,40,3920,9767,9767,4767,5000,
1406,E05000392,Norland,Wards and Electoral Divisions,WED,4122,1729,1308,735,297,53,2348,8675,8675,4128,4547,
1407,E05000393,Notting Barns,Wards and Electoral Divisions,WED,4151,1237,1386,1012,445,71,2888,9537,9537,4491,5046,
1408,E05000394,Pembridge,Wards and Electoral Divisions,WED,3946,1780,1476,535,131,24,2363,7659,7659,3758,3901,
1409,E05000395,Queen's Gate,Wards and Electoral Divisions,WED,4878,2583,1786,400,92,17,3988,9847,9847,5052,4795,
1410,E05000396,Redcliffe,Wards and Electoral Divisions,WED,4716,2488,1561,467,172,28,2634,9245,9245,4657,4588,
1411,E05000397,Royal Hospital,Wards and Electoral Divisions,WED,3710,2054,1117,403,119,17,1998,7252,7252,3625,3627,
1412,E05000398,St Charles,Wards and Electoral Divisions,WED,4208,1261,1407,997,468,75,2384,9343,9343,4428,4915,
1413,E05000399,Stanley,Wards and Electoral Divisions,WED,4005,2177,1233,440,131,24,2400,8187,8187,3823,4364,
