,Ward name,Area - Square Kilometres,Population - 2015,Working-age (16-64) - 2015,Employment rate (16-64) - 2011,Median Household income estimate (2012/13),Average Public Transport Accessibility score - 2014,Crime rate - 2014/15
103,Camden - Belsize,0.8,12800.0,8850.0,74.4,52680.0,4.2,60.9
104,Camden - Bloomsbury,1.0,11700.0,9800.0,51.4,40340.0,8.0,314.1
105,Camden - Camden Town with Primrose Hill,1.2,13100.0,9550.0,69.4,45840.0,5.4,297.0
106,Camden - Cantelowes,0.8,12450.0,9450.0,64.3,39060.0,4.9,82.5
107,Camden - Fortune Green,1.0,12100.0,9000.0,74.6,46800.0,4.8,54.2
108,Camden - Frognal and Fitzjohns,1.5,12250.0,8500.0,69.8,60310.0,4.8,56.7
109,Camden - Gospel Oak,0.7,11500.0,7950.0,65.5,39990.0,4.1,65.8
110,Camden - Hampstead Town,2.5,11400.0,7550.0,76.6,62840.0,4.0,82.9
111,Camden - Haverstock,0.7,12750.0,8900.0,62.9,35730.0,4.7,87.6
112,Camden - Highgate,3.2,11150.0,7500.0,70.4,47840.0,3.9,81.0
113,Camden - Holborn and Covent Garden,1.2,13700.0,10550.0,61.9,40180.0,7.9,311.0
114,Camden - Kentish Town,1.0,13850.0,10400.0,71.3,41230.0,5.7,89.0
115,Camden - Kilburn,0.7,12350.0,8750.0,66.8,34730.0,5.5,110.7
116,Camden - King's Cross,0.6,12550.0,10000.0,46.1,32890.0,7.8,122.4
117,Camden - Regent's Park,1.3,14700.0,11200.0,54.4,34260.0,6.8,131.3
118,Camden - St. Pancras and Somers Town,1.4,16200.0,12000.0,53.0,30500.0,7.1,93.5
119,Camden - Swiss Cottage,1.3,13200.0,9400.0,72.3,50340.0,6.2,70.0
120,Camden - West Hampstead,0.9,12550.0,9750.0,76.2,46290.0,6.0,77.6
357,Kensington and Chelsea - Abingdon,0.6,10700.0,7550.0,66.2,54690.0,6.5,83.2
358,Kensington and Chelsea - Brompton,1.0,8900.0,6350.0,69.2,64320.0,6.8,185.5
359,Kensington and Chelsea - Campden,0.9,8250.0,5700.0,71.6,65500.0,6.8,124.7
360,Kensington and Chelsea - Colville,0.4,8400.0,6150.0,69.9,43560.0,5.4,172.2
361,Kensington and Chelsea - Courtfield,0.5,9100.0,6950.0,64.8,61810.0,6.9,109.0
362,Kensington and Chelsea - Cremorne,0.6,8250.0,5550.0,63.0,43920.0,4.7,89.5
363,Kensington and Chelsea - Earl's Court,0.5,9300.0,7300.0,68.5,44100.0,7.0,110.4
364,Kensington and Chelsea - Golborne,0.9,9600.0,6850.0,59.3,30100.0,4.5,130.9
365,Kensington and Chelsea - Hans Town,0.6,8850.0,6150.0,69.1,58100.0,6.6,188.3
366,Kensington and Chelsea - Holland,1.0,9850.0,6650.0,66.4,54770.0,6.0,70.8
367,Kensington and Chelsea - Norland,0.7,8750.0,5650.0,67.4,53430.0,5.4,97.2
368,Kensington and Chelsea - Notting Barns,0.6,9750.0,6550.0,61.8,36690.0,4.2,99.3
369,Kensington and Chelsea - Pembridge,0.5,7700.0,5700.0,74.8,55710.0,7.0,177.9
370,Kensington and Chelsea - Queen's Gate,0.6,9950.0,7450.0,66.3,63630.0,6.0,88.0
371,Kensington and Chelsea - Redcliffe,0.7,9300.0,6750.0,74.3,54550.0,6.2,80.1
372,Kensington and Chelsea - Royal Hospital,0.9,7350.0,4750.0,72.8,60600.0,5.0,117.9
373,Kensington and Chelsea - St. Charles,0.7,9600.0,6700.0,63.4,36100.0,3.8,114.8
374,Kensington and Chelsea - Stanley,0.7,8250.0,5650.0,73.0,54990.0,5.6,118.7
